datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions
2023-10-01,26.5,12.5,18.9,26.5,12.5,18.9,13.7,74.3,0.144,100.0,4.17,rain,0.0,0.0,25.0,11.3,170.2,1023.7,46.5,18.6,39.8,3.5,3,10,2023-10-01 07:49:34,2023-10-01 19:30:27,0.57,"Rain, Partially cloudy"
2023-10-02,27.7,14.5,20.7,27.9,14.5,20.7,14.7,71.0,0.0,0.0,0.0,dry,0.0,0.0,26.3,12.0,173.7,1018.8,48.6,16.8,51.3,4.4,4,10,2023-10-02 07:51:01,2023-10-02 19:28:21,0.6,Partially cloudy
2023-10-03,22.1,15.0,18.8,22.1,15.0,18.8,13.0,69.9,0.386,100.0,12.5,rain,0.0,0.0,51.6,22.8,277.2,1020.5,71.8,22.1,54.5,4.8,4,10,2023-10-03 07:52:29,2023-10-03 19:26:16,0.63,"Rain, Partially cloudy"
2023-10-04,18.2,10.2,14.2,18.2,10.2,14.2,9.3,73.2,0.006,100.0,4.17,rain,0.0,0.0,23.6,12.3,260.9,1029.8,62.0,22.4,58.9,5.1,4,10,2023-10-04 07:53:57,2023-10-04 19:24:10,0.66,"Rain, Partially cloudy"
2023-10-05,19.8,11.0,14.7,19.8,11.0,14.7,9.4,72.1,0.014,100.0,4.17,rain,0.0,0.0,16.3,6.8,238.3,1027.3,82.3,21.3,41.7,3.5,3,10,2023-10-05 07:55:25,2023-10-05 19:22:06,0.7,"Rain, Partially cloudy"
2023-10-06,21.3,9.4,14.7,21.3,9.4,14.7,8.8,71.2,0.014,100.0,4.17,rain,0.0,0.0,17.2,7.4,216.2,1026.9,61.3,20.8,48.0,4.0,4,10,2023-10-06 07:56:54,2023-10-06 19:20:01,0.75,"Rain, Partially cloudy"
2023-10-07,23.9,10.5,16.7,23.9,10.5,16.7,10.5,68.6,0.0,0.0,0.0,dry,0.0,0.0,20.4,9.3,233.1,1026.8,14.8,22.5,43.5,3.7,4,10,2023-10-07 07:58:23,2023-10-07 19:17:57,0.76,Clear
2023-10-08,26.8,12.4,18.5,26.8,12.4,18.5,12.2,69.7,0.007,100.0,4.17,rain,0.0,0.0,18.1,9.3,176.1,1025.9,25.7,21.9,42.5,3.8,3,10,2023-10-08 07:59:52,2023-10-08 19:15:54,0.79,"Rain, Partially cloudy"
2023-10-09,26.0,13.7,18.9,26.0,13.7,18.9,11.4,65.8,0.0,0.0,0.0,dry,0.0,0.0,14.4,7.1,266.1,1023.4,66.8,21.7,37.8,3.3,2,10,2023-10-09 08:01:21,2023-10-09 19:13:51,0.83,Partially cloudy
2023-10-10,27.4,12.4,18.9,26.9,12.4,18.8,11.0,63.5,0.0,0.0,0.0,dry,0.0,0.0,25.4,13.3,219.4,1021.1,64.7,21.6,49.0,4.3,4,10,2023-10-10 08:02:51,2023-10-10 19:11:49,0.86,Partially cloudy
