name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris,France",2023-10-01,26.5,12.5,18.9,26.5,12.5,18.9,13.7,74.3,0.144,100,4.17,rain,0,0,25,11.3,170.2,1023.7,46.5,18.6,39.8,3.5,3,10,2023-10-01T07:49:34,2023-10-01T19:30:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-02,27.7,14.5,20.7,27.9,14.5,20.7,14.7,71,0,0,0,,0,0,26.3,12,173.7,1018.8,48.6,16.8,51.3,4.4,4,10,2023-10-02T07:51:01,2023-10-02T19:28:21,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-03,22.1,15,18.8,22.1,15,18.8,13,69.9,0.386,100,12.5,rain,0,0,51.6,22.8,277.2,1020.5,71.8,22.1,54.5,4.8,4,10,2023-10-03T07:52:29,2023-10-03T19:26:16,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-10-04,18.2,10.2,14.2,18.2,10.2,14.2,9.3,73.2,0.006,100,4.17,rain,0,0,23.6,12.3,260.9,1029.8,62,22.4,58.9,5.1,4,10,2023-10-04T07:53:57,2023-10-04T19:24:10,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-10-05,19.8,11,14.7,19.8,11,14.7,9.4,72.1,0.014,100,4.17,rain,0,0,16.3,6.8,238.3,1027.3,82.3,21.3,41.7,3.5,3,10,2023-10-05T07:55:25,2023-10-05T19:22:06,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-10-06,21.3,9.4,14.7,21.3,9.4,14.7,8.8,71.2,0.014,100,4.17,rain,0,0,17.2,7.4,216.2,1026.9,61.3,20.8,48,4,4,10,2023-10-06T07:56:54,2023-10-06T19:20:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-07,23.9,10.5,16.7,23.9,10.5,16.7,10.5,68.6,0,0,0,,0,0,20.4,9.3,233.1,1026.8,14.8,22.5,43.5,3.7,4,10,2023-10-07T07:58:23,2023-10-07T19:17:57,0.76,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-08,26.8,12.4,18.5,26.8,12.4,18.5,12.2,69.7,0.007,100,4.17,rain,0,0,18.1,9.3,176.1,1025.9,25.7,21.9,42.5,3.8,3,10,2023-10-08T07:59:52,2023-10-08T19:15:54,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-09,26,13.7,18.9,26,13.7,18.9,11.4,65.8,0,0,0,,0,0,14.4,7.1,266.1,1023.4,66.8,21.7,37.8,3.3,2,10,2023-10-09T08:01:21,2023-10-09T19:13:51,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-10,27.4,12.4,18.9,26.9,12.4,18.8,11,63.5,0,0,0,,0,0,25.4,13.3,219.4,1021.1,64.7,21.6,49,4.3,4,10,2023-10-10T08:02:51,2023-10-10T19:11:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-11,25.2,12.9,18.9,25.2,12.9,18.9,10.2,58.9,0.007,100,4.17,rain,0,0,37.1,15.5,211.1,1017.6,53.4,22.3,35.2,3.1,2,10,2023-10-11T08:04:21,2023-10-11T19:09:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-12,22.4,16.3,19,22.4,16.3,19,14.4,75.4,3.793,100,12.5,rain,0,0,29.2,13.5,219.8,1016,94.4,20.5,32.4,2.9,1,10,2023-10-12T08:05:51,2023-10-12T19:07:47,0.92,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-13,25.5,17.6,20.7,25.5,17.6,20.7,14.7,70,0.323,100,16.67,rain,0,0,69.9,30,211.7,1010.1,92.5,21.7,28,2.4,3,10,2023-10-13T08:07:21,2023-10-13T19:05:47,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-14,19.4,11.4,14.1,19.4,11.4,14.1,9,71.6,1.129,100,20.83,rain,0,0,66.4,28,289.6,1016.9,86.7,23.6,32.8,2.8,3,10,2023-10-14T08:08:52,2023-10-14T19:03:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
